Unnamed: 0,Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
335,N L McCullum,PWI,2,26,26.0,0,
336,A B McDonald,"DDV, RCB",11,123,24.6,11,23.73
337,G D McGrath,DDV,14,4,4.0,12,29.75
338,C J McKay,MIN,2,8,8.0,1,60.0
339,R McLaren,"MIN, KXI, KKR",18,159,19.88,12,45.17
340,A L  Menaria,RRO,29,401,19.1,3,48.0
341,B A W Mendis,"KKR, PWI",10,3,1.5,8,35.63
342,B M A J Mendis,DDV,3,23,7.67,1,36.0
343,R P Meredith,"KXI, MIN",18,0,,19,32.21
344,L I Meriwala,DDV,1,0,,1,32.0
345,S Midhun,RRO,1,0,,0,
346,D A Miller,"KXI, RRO, GTI",121,2714,35.71,0,
347,T S Mills,"RCB, MIN",10,8,2.0,11,31.18
348,A F Milne,"RCB, MIN, CSK",10,23,5.75,7,46.71
349,Misbah-ul-Haq,RCB,8,117,16.71,0,
350,A Mishra,"DDV, DCH, SUN, LSG",161,381,11.91,173,23.87
351,M D  Mishra,"DCH, PWI",18,237,14.81,0,
352,T Mishra,DCH,1,0,,0,
353,D J Mitchell,RRO,2,33,16.5,0,
354,A Mithun,RCB,16,34,6.8,7,67.43
355,Mohammad Ashraful,MIN,1,2,2.0,0,
356,Mohammad Asif,DDV,8,3,1.5,8,37.0
357,Mohammad Hafeez,KKR,8,64,9.14,2,34.0
358,Mohammad Nabi,SUN,17,180,15.0,13,31.38
359,Mohammed Shami,"KKR, DDV, KXI, GTI",110,74,5.69,127,26.87
360,Mohammed Siraj,"SUN, RCB",79,97,12.13,78,29.82
361,Mohsin Khan,LSG,14,23,11.5,17,17.88
362,Monu Kumar,CSK,1,0,,0,
363,R G  More,CSK,2,2,,1,59.0
364,E J G Morgan,"RCB, KKR, SUN, KXI",83,1405,22.66,0,
365,J A Morkel,"CSK, RCB, DDV, RPS",91,974,24.35,85,27.75
366,M Morkel,"RRO, DDV, KKR",70,126,11.45,77,27.13
367,C H Morris,"CSK, RRO, DDV, RCB",81,618,22.07,95,24.16
368,W A  Mota,KXI,12,56,9.33,4,24.25
369,Mujeeb Ur Rahman,"KXI, SUN",19,12,4.0,19,31.16
370,Mukesh Choudhary,CSK,13,6,6.0,16,26.5
371,A Mukund,"CSK, RCB",3,19,9.5,0,
372,S S Mundhe,PWI,1,0,,1,6.0
373,C Munro,"KKR, DDV",13,177,14.75,0,
374,M Muralitharan,"CSK, KTK, RCB",66,20,3.33,63,26.75
375,A G  Murtaza,"MIN, PWI",12,10,10.0,9,34.78
376,Mustafizur Rahman,"SUN, MIN, RRO, DDV",48,13,13.0,47,30.72
377,D J Muthuswami,DDV,6,1,1.0,4,25.25
378,S Nadeem,"DDV, SUN",72,39,2.79,48,37.17
379,Y  Nagar,DDV,26,285,20.36,4,31.25
380,K L Nagarkoti,"KKR, DDV",12,22,5.5,5,57.0
381,N S Naik,"KXI, KKR",4,31,7.75,0,
382,K K Nair,"RCB, RRO, DDV, KXI",76,1496,23.75,0,
383,D G Nalkande,GTI,3,0,0.0,3,34.33
384,C  Nanda,MIN,3,0,0.0,2,28.5
385,D P Nannes,"DDV, RCB, CSK",29,4,4.0,28,28.54
386,G R  Napier,MIN,1,15,15.0,1,27.0
387,S P Narine,KKR,162,1046,13.76,163,25.79
388,S  Narwal,"RRO, KKR",7,37,12.33,5,40.4
389,T Natarajan,"KXI, SUN",47,3,,48,31.33
390,A D Nath,"GUJ, KXI, RCB",14,90,9.0,0,
391,Naveen-ul-Haq,LSG,8,16,16.0,11,19.91
392,A M Nayar,"MIN, KXI, PWI, RRO",60,672,17.68,9,35.78
393,J D S Neesham,"DDV, KXI, MIN, RRO",14,92,10.22,8,41.75
394,P Negi,"DDV, CSK, RCB",50,365,14.04,34,27.62
395,A Nehra,"MIN, DDV, PWI, CSK, SUN",88,41,5.86,106,23.41
396,A Nel,MIN,1,0,0.0,1,31.0
397,M G Neser,KXI,1,0,,0,
398,L Ngidi,"CSK, DDV",14,0,,25,17.92
399,R  Ninan,RCB,2,3,3.0,3,21.67
400,A A Noffke,RCB,1,9,9.0,1,40.0
401,Noor Ahmad,GTI,13,8,4.0,16,23.06
402,A Nortje,DDV,40,45,11.25,53,24.15
403,M Ntini,CSK,9,11,11.0,7,34.57
404,N V Ojha,"RRO, DDV, SUN",113,1554,20.72,0,
405,P P Ojha,"DCH, MIN",92,16,1.33,89,26.2
406,J D P Oram,"CSK, RRO, MIN",18,106,13.25,9,38.78
407,P Ray Barman,RCB,1,19,19.0,0,
408,D Padikkal,"RCB, RRO",57,1521,27.65,0,
409,T D Paine,PWI,2,10,5.0,0,
410,I C Pandey,"PWI, CSK",25,0,0.0,18,32.83
411,M K Pandey,"MIN, RCB, PWI, KKR, SUN, LSG, DDV",170,3808,29.07,0,
412,H H Pandya,"MIN, GTI",123,2309,30.38,53,33.26
413,K H Pandya,"MIN, LSG",113,1514,21.94,70,33.59
414,Pankaj Singh,"RRO, RCB",17,7,3.5,11,42.55
415,R R Pant,DDV,98,2838,34.61,0,
416,R Parag,RRO,54,600,16.22,4,70.0
417,P  Parameswaran,"KTK, RCB",8,1,,9,24.89
418,M B  Parmar,KKR,1,0,,0,
419,W D Parnell,"PWI, DDV, RCB",33,65,6.5,35,26.77
420,Parvez Rasool,"PWI, SUN, RCB",11,17,8.5,4,67.75
421,A R Patel,"KXI, DDV",136,1418,20.55,112,30.54
422,H V Patel,"RCB, DDV",92,236,9.83,111,24.07
423,M M Patel,"RRO, MIN, GUJ",63,39,6.5,74,22.95
424,N K  Patel,RRO,9,121,30.25,0,
425,P A Patel,"CSK, KTK, DCH, SUN, RCB, MIN",139,2848,22.6,0,
426,R V Patel,DDV,9,80,16.0,0,
427,A U K Pathan,RCB,9,39,7.8,0,
428,I K Pathan,"KXI, DDV, SUN, RPS, GUJ",103,1139,21.49,80,33.11
429,Y K Pathan,"RRO, KKR, SUN",174,3204,29.13,42,33.02
430,M Pathirana,CSK,14,0,,21,20.14
